GameFileName,GameName,GameDisplay,GameRating,MediaSearch,Manufact,GameYear,NumPlayers,GameType,GKeepDisplays,Category,GameTheme,CUSTOM5,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,ROM,Tags
1-2-3... (Automaticos 1973) JPSalas 5.5.0,1-2-3... (Automaticos 1973),1-2-3... (Automaticos 1973),6500,,Automaticos,1973,1,EM,"0,1,5",E,Games and Game Shows,,https://www.ipdb.org/machine.cgi?id=5247,5247,,?,"JPSalas, Akiles50000, Loserman76, Kiwi",5.5.0,,langS
2 in 1 (Bally 1964) Loserman76 1.0,2 in 1 (Bally 1964),2 in 1 (Bally 1964),5680,,Bally,1964,2,EM,"0,1,5",E,Card and Casino,,http://www.ipdb.org/machine.cgi?id=2698,2698,,Ted Zale,"Loserman76, Kees",1.0.0,,
4 Aces (Williams 1970) JPSalas 5.5.0,4 Aces (Williams 1970),4 Aces (Williams 1970),6876,,Williams,1970,2,EM,"0,1,5",E,Card and Casino,,https://www.ipdb.org/machine.cgi?id=928,928,,`,"JPSalas, Halen",5.5.0,,Odd
4 Queens (Bally 1970) Loserman76 2.0a MOD,4 Queens (Bally 1970),4 Queens (Bally 1970),6180,,Bally,1970,1,EM,"0,1,5",E,Medieval Era,,http://www.ipdb.org/machine.cgi?id=936,936,,Jim Patla,"Loserman76, kees, Wildman",2.0a,,Zips
4 Roses (Williams 1962) Balater 1.04,4 Roses (Williams 1962),4 Roses (Williams 1962),5500,,Williams,1962,1,EM,"0,1,5",E,Leisure and Travel,,https://www.ipdb.org/machine.cgi?id=https://www.ipdb.org/machine.cgi?id=938,938,,,Balater,1.04,,FixPH
4 Square (Gottlieb 1971) Loserman76 1.0,4 Square (Gottlieb 1971),4 Square (Gottlieb 1971),7080,,Gottlieb,1971,1,EM,"0,1,5",E,Games and Game Shows,,https://www.ipdb.org/machine.cgi?id=940,940,,Ed Krynski,"Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck",1.0,,
8 Ball (Williams 1966) EMUnderdogs 1.3.0,8 Ball (Williams 1966),8 Ball (Williams 1966),7442,,Williams,1966,2,EM,"0,1,5",E,Billiards,,https://www.ipdb.org/machine.cgi?id=764,764,,Norm Clark,EMUnderdogs,1.3.0,,Odd
24 (Stern 2009) RobbyKingPin 2.3.1 MOD,24 (Stern 2009),24 (Stern 2009),8552,,Stern,2009,4,SS dmd,"0,5",E,Military and Spies,,http://www.ipdb.org/machine.cgi?id=5419,5419,,Steve Ritchie,RobbyKingPin,2.3.1,twenty4_150,
250 cc (Inder 1992) JPSalas 5.5.1,250 cc (Inder 1992),250 cc (Inder 1992),6656,,Inder,1992,4,SS,"0,1,5",E,Motorsports,,http://www.ipdb.org/machine.cgi?id=4089,4089,,?,"JPSalas, Destruk, Batansa, Adrián, Inkochnito, Arngrim",5.5.1,ind250cc,langS
300 (Gottlieb 1975) TeamScampa123 1.1.0 MOD,300 (Gottlieb 1975),300 (Gottlieb 1975),8194,,Gottlieb,1975,4,EM,"0,1,5",E,Sports,Bowling,http://www.ipdb.org/machine.cgi?id=2539,2539,,Ed Krynski,"Scampa123, Loserman76, HauntFreaks, Rawd, Leojreimroc, Apophis",1.1.0,,
301 Bulls Eye (Grand Products 1986) JPSalas 6.0.0,301 Bulls Eye (Grand Products 1986),301 Bulls Eye (Grand Products 1986),8550,,Grand Products,1986,4,SS,"0,1,5",E,Billiards,,http://www.ipdb.org/machine.cgi?id=403,403,,?,JPSalas,6.0.0,bullseye,Odd
"A Team, The (Original 2024) Jicho 3.0.2","A Team, The (Original 2024)","A Team, The (Original 2024)",6586,,Original,2024,4,SS dmd,"0,5",E,Military and Spies,,,,,Jicho,Jicho,3.0.2,,FlexDMD
A-Go-Go (Williams 1966) Mustang1961 1.3.0,A-Go-Go (Williams 1966),A-Go-Go (Williams 1966),7176,,Williams,1966,4,EM,"0,1,5",E,Leisure and Travel,,https://www.ipdb.org/machine.cgi?id=27,27,,Norm Clark,"Mustang1961, PinPlayer",1.3.0,,
Aaron Spelling (Data East 1992) Balater 1.02 MOD,Aaron Spelling (Data East 1992),Aaron Spelling (Data East 1992),5990,,Data East,1992,4,SS dmd,"0,5",E,Games and Game Shows,,http://www.ipdb.org/machine.cgi?id=4339,4339,,"Joe Kaminkow, Ed Cebula","Balater, Xenonph, Destruk, Tab",1.02,aar_101,dup
Abra Ca Dabra (Gottlieb 1975) Batch 1.1,Abra Ca Dabra (Gottlieb 1975),Abra Ca Dabra (Gottlieb 1975),7350,,Gottlieb,1975,1,EM,"0,1,5",E,Fantasy and Legends,,http://www.ipdb.org/machine.cgi?id=2,2,,JeFastFlips Brenner,"Batch, BorgDog, HauntFreaks, Pinuck",1.1,,
AC-DC LUCI -Vault Edition- (Stern 2018) VPW Mod 1.1.3,AC-DC LUCI -Vault Edition- (Stern 2018),AC-DC LUCI -Vault Edition- (Stern 2018),9580,,Stern,2018,4,SS dmd,"0,5",M,Musicians,,https://www.ipdb.org/machine.cgi?id=6502,6502,,Steve Ritchie,"VPinWorkshop, Ninuzzu",1.1.3,acd_170h,Music
AC-DC PWR Up Edition (Stern 2020) Britman 1.0.1 MOD,AC-DC PWR Up Edition (Stern 2020),AC-DC PWR Up Edition (Stern 2020),9474,,Stern,2020,4,SS dmd,-1,E,Musicians,,http://www.ipdb.org/machine.cgi?id=5775,5775,,Steve Ritchie,Britman,1.0.1,acd_170hc,"Music, PuP, dup"
AC-DC PWR Up -Album Edition- (Stern 2020) Djules 1.0.0 MOD,AC-DC PWR Up -Album Edition- (Stern 2020),AC-DC PWR Up -Album Edition- (Stern 2020),9360,,Stern,2020,4,SS dmd,"0,5",E,Musicians,,http://www.ipdb.org/machine.cgi?id=5775,5775,,Steve Ritchie,"Djules, Britman",1.0.0,acd_170c,"Music, dup"
Accept (Germany) (Original 2019) Batch 1.2.0,Accept (Germany),Accept (Germany),6882,,Original,2019,4,SS,"0,1,5",E,Musicians,,Not Available,,,?,"Batch, Thalamus, Kalavera. JPSalas, Xenonph, Flupper, Kiwi, RetroBash, Zanny",1.2.0,algar_l1,Music
Ace High (Gottlieb 1957) JPSalas 5.5.0,Ace High (Gottlieb 1957),Ace High (Gottlieb 1957),7202,,Gottlieb,1957,1,EM,"0,1,5",E,Card and Casino,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=7,7,,Wayne Neyens,JPSalas,5.5.0,,
Ace of Speed (Original 2019) Mussinger Vicente 1.0.1 MOD,Ace of Speed (Original 2019),Ace of Speed (Original 2019),9006,,Original,2019,4,SS alpha,-1,M,Motorsports,,https://vpuniverse.com/files/file/6253-ace-of-speed/,,,David Vicente,"Mussinger, Herweh, David Vicente, David Maldonado, JPJ, ScottyWic, NailBuster, Rik Laubach, Vero, Vogliadicane",1.0.1,mousn_l4,PuP
